observed_on,latitude,longitude,scientific_name,common_name,,Source
11/1/2007,29.12068566,-118.2420899,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
11/4/2007,29.131321,-118.265791,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
3/28/2014,37.8519176,-122.4417045,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
3/28/2014,37.99549971,-122.5506323,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
3/28/2014,37.83559135,-122.4482207,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
4/3/2015,28.302428,-115.579943,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
4/8/2015,37.35995334,-122.5356069,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/12/2015,37.40690224,-122.4390503,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/17/2015,37.42928879,-122.5464244,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/7/2015,25.437166,-109.374239,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/18/2012,28.895184,-118.245699,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
4/23/2016,28.882141,-118.291544,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/10/2016,43.05173521,-124.4925724,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
11/30/2015,29.15347305,-118.2846451,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
11/30/2015,29.15347305,-118.2846451,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
4/24/2017,36.91480482,-122.0585644,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
5/16/2017,46.1195648,-123.9293287,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/28/2017,36.83157574,-121.9823465,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/16/2017,33.13530881,-119.5325958,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
10/14/2016,28.89269169,-118.2815552,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
9/11/2011,28.88213094,-118.2931879,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
4/29/2018,32.67158891,-117.261438,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
8/30/2015,37.35883518,-122.9806492,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
7/3/1998,57.0307694,-170.2875655,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
6/10/2018,32.54645897,-117.3865937,Arctocephalus townsendi,Guadalupe Fur Seal,,iNaturalist.org
